RFV;H1RFV;H2RFV;CONICITY;H1LFV;PLY;LFV;RRO;CAPSPLICE;H1RRO
63;34;27;10.3;8.3;48.7;11.5;1.19;0.46;0.52
55;38;7;9.7;9.9;49.8;15.1;0.8;0.26;0.4
66;34;29;11.4;5.8;49.4;11.1;0.87;0.25;0.23
101;77;46;10.9;13.3;52.2;17.3;1.48;0.27;1.07
83;46;19;8.5;10.3;49.3;14.9;1.05;0.39;0.39
45;14;15;12.9;3.3;49.7;7.4;0.74;0.31;0.33
51;23;24;8.5;7.7;52.3;9.2;0.7;0.31;0.15
69;55;13;8.7;3.8;53.7;10.4;0.9;0.18;0.7
55;28;21;8.4;5.1;47.3;12.0;0.89;0.36;0.5
68;48;17;9.6;5.4;43.8;7.9;1.07;0.44;0.61
63;43;7;9.1;7.3;48.0;14.7;1.03;0.3;0.53
69;55;20;10.7;7.6;50.0;9.7;1.01;0.22;0.7
46;14;23;4.5;4.3;56.0;13.0;0.77;0.17;0.17
62;38;3;9.9;7.8;48.9;11.1;0.67;0.33;0.36
68;40;19;10.5;7.9;51.0;13.4;1.29;0.49;0.79
65;55;8;10.3;8.6;48.4;13.1;0.92;0.23;0.67
44;13;33;6.8;9.5;48.9;11.9;0.65;0.24;0.21
49;18;19;4.7;8.8;56.8;15.1;0.65;0.25;0.2
37;29;7;8.2;15.8;51.5;18.4;0.74;0.22;0.5
73;48;28;7.8;2.2;50.2;7.7;1.0;0.25;0.66
58;40;21;11.2;6.9;49.6;10.8;1.05;0.2;0.65
39;16;22;9.4;5.1;52.3;9.3;0.51;0.28;0.15
53;34;16;10.8;3.8;50.8;9.0;0.69;0.28;0.47
39;18;10;10.8;6.9;52.2;13.8;0.72;0.21;0.18
86;49;18;10.4;8.8;49.4;15.4;1.14;0.34;0.6
42;26;9;9.9;7.1;45.6;11.4;0.75;0.29;0.38
87;55;12;10.3;18.1;50.1;20.9;1.47;0.72;0.92
40;19;4;8.4;7.5;49.9;9.4;0.61;0.22;0.33
58;23;23;7.8;9.0;53.8;14.7;1.13;0.64;0.41
90;63;22;8.1;3.7;52.3;7.0;1.35;0.75;0.7
50;20;18;7.1;10.0;49.5;16.6;0.62;0.32;0.22
61;33;16;11.6;9.8;47.3;12.8;0.93;0.3;0.45
35;15;13;10.2;8.2;50.9;14.1;0.56;0.23;0.03
40;27;8;10.9;8.7;50.6;14.0;0.68;0.23;0.44
34;21;11;5.7;5.9;40.4;9.4;0.68;0.32;0.44
60;33;23;7.5;4.0;55.5;13.2;0.62;0.2;0.23
55;35;17;6.7;12.4;52.5;17.0;0.75;0.19;0.44
50;23;14;11.6;4.1;47.5;7.7;0.46;0.2;0.28
55;18;34;7.3;11.5;45.8;16.7;0.86;0.2;0.41
62;46;15;10.6;7.6;53.8;11.9;0.82;0.15;0.4
69;49;27;9.4;12.2;48.6;14.6;0.89;0.32;0.46
67;44;10;6.4;14.0;48.4;19.0;0.97;0.37;0.61
49;32;23;8.3;7.4;49.5;10.9;0.65;0.23;0.43
63;41;16;6.6;4.6;54.1;8.6;0.76;0.21;0.45
55;27;35;12.1;9.0;51.3;14.7;0.79;0.2;0.4
34;12;2;8.0;4.8;49.5;11.5;0.5;0.33;0.2
46;27;23;11.2;11.0;53.7;13.8;0.63;0.32;0.31
64;52;15;8.7;11.8;48.3;16.6;0.97;0.35;0.68
41;16;19;7.0;6.7;52.1;14.8;0.64;0.23;0.17
65;38;22;10.9;16.9;50.6;17.8;1.09;0.26;0.56
41;23;16;11.2;4.7;49.3;7.9;0.46;0.28;0.23
80;55;32;9.8;7.6;51.9;13.3;1.08;0.27;0.8
58;32;13;8.1;11.0;52.7;14.0;0.9;0.42;0.43
56;41;25;7.0;6.7;50.6;10.8;0.82;0.3;0.44
48;29;14;8.6;6.7;50.0;9.9;0.58;0.24;0.25
78;52;32;9.3;9.8;52.5;11.5;0.98;0.33;0.56
35;14;5;6.1;8.2;55.2;17.7;0.88;0.27;0.18
54;30;27;9.9;17.3;50.5;21.9;0.86;0.17;0.38
80;24;42;12.4;8.7;48.5;12.1;1.0;0.39;0.32
46;34;7;9.8;9.0;51.7;14.9;0.78;0.18;0.42
49;16;22;8.2;6.5;53.6;9.2;0.59;0.29;0.12
51;21;19;7.2;6.3;50.4;9.8;0.84;0.42;0.31
65;28;10;10.4;4.6;50.0;9.9;0.83;0.61;0.24
83;67;6;9.3;8.0;51.0;11.9;1.24;0.21;0.91
86;51;22;9.3;11.5;51.7;12.8;1.11;0.5;0.61
56;24;16;7.9;8.7;46.9;11.2;0.48;0.25;0.1
57;30;23;6.4;4.7;53.6;10.9;0.72;0.26;0.33
48;12;18;8.8;15.7;47.3;21.2;0.82;0.19;0.3
33;13;8;8.6;12.5;50.9;15.4;0.87;0.36;0.22
75;45;22;6.7;4.5;50.4;8.4;1.12;0.33;0.68
44;12;24;12.2;7.1;51.6;10.0;0.62;0.25;0.19
41;23;5;5.8;7.9;52.4;12.1;0.62;0.22;0.31
52;29;25;6.9;6.2;52.1;10.4;0.7;0.18;0.3
77;48;16;13.0;6.3;49.6;8.9;1.2;0.62;0.55
40;22;8;6.8;9.9;54.3;14.8;0.51;0.25;0.16
46;10;27;7.2;12.3;42.4;14.1;1.05;0.27;0.53
117;81;34;9.8;7.6;51.9;13.2;1.49;0.23;0.98
44;31;14;8.6;5.0;54.1;12.4;0.62;0.24;0.38
32;9;19;11.0;11.8;50.4;15.5;0.47;0.17;0.01
35;21;6;4.5;6.4;50.9;12.4;0.42;0.22;0.15
